Id;Nombre;Descripcion;Precio;Categoria;Marca;Talla;Color;EstadoPrenda;Estado;ImagenUrl;Genero
73;Blusa Deportiva;Blusa Deportiva;25;Blusas;Tek Gear;L;Morado;10;Disponible;P_73;Mujer
74;Blusa Deportiva;Blusa Deportiva;25;Blusas;POLO;L;Dorado;10;Disponible;P_74;Mujer
75;Blusa Deportiva;Blusa Deportiva;25;Blusas;Americano;L;Rosado;10;Disponible;P_75;Mujer
76;Blusa Deportiva;Blusa Deportiva;15;Blusas;Americano;XL;Gris;10;Disponible;P_76;Mujer
77;Camiseta;Camiseta;20;Blusas;Tek Gear;L;Gris;10;Disponible;P_77;Mujer
78;Camiseta;Camiseta;20;Blusas;Americano;L;Gris;10;Disponible;P_78;Mujer
79;Camiseta;Camiseta;30;Blusas;Under Armour;M;Gris;10;Disponible;P_79;Mujer
80;Camiseta;Camiseta;30;Blusas;Champion;M;Rosado;10;Disponible;P_80;Mujer
81;Playera;Playera;50;Playeras;Nike;M;Negro;10;Disponible;P_81;Unisex
82;Blusa Deportiva;Blusa Deportiva;30;Blusas;Under Armour;SM;Morado;9;Disponible;P_82;Mujer
83;Camiseta;Camiseta;30;Blusas;Americano;M;Naranja;10;Disponible;P_83;Mujer
84;Camiseta;Camiseta;40;Blusas;IcyZone;M;Azul;10;Disponible;P_84;Mujer
85;Camiseta;Camiseta;25;Blusas;LoveSport;M;Blanco;8;Disponible;P_85;Mujer
86;Camiseta;Camiseta;30;Blusas;ProPlayer;M;Diseño;10;Disponible;P_86;Mujer
87;Camiseta;Camiseta;40;Blusas;All in Motion;M;Negro;10;Disponible;P_87;Mujer
88;Sueter;Sueter;80;Suéteres;Under Armour;M;Verde;10;Disponible;P_88;Mujer
89;Camiseta;Camiseta;60;Blusas;Old Navy;M;Negro;10;Disponible;P_89;Mujer
90;Licra;Licra;80;Licras;Jockey;S;Negro;10;Disponible;P_90;Mujer
91;Licra;Licra;70;Licras;PowerHold;S;Verde;10;Disponible;P_91;Mujer
92;Licra;Licra;70;Licras;EMS;S;Azul;10;Disponible;P_92;Hombre
93;Licra;Licra;50;Licras;FILA;S;Gris;7;Disponible;P_93;Mujer
94;Licra;Licra;50;Licras;SHEIN;S;Negro;10;Disponible;P_94;Mujer
95;Licra;Licra;60;Licras;Ohidrolix;S;Negro;10;Disponible;P_95;Mujer
96;Pantaloneta;Pantaloneta;50;Pantalonetas;Americano;M;Negro;10;Disponible;P_96;Mujer
97;Pantaloneta;Pantaloneta;50;Pantalonetas;Americano;S;Negro;10;Disponible;P_97;Mujer
98;Licra;Licra;75;Licras;Americano;S;Diseño;10;Disponible;P_98;Mujer
99;Licra;Licra;80;Licras;Old Navy;M;Verde;10;Disponible;P_99;Mujer
100;Licra;Licra;120;Licras;Lululemon;S;Verde;10;Disponible;P_100;Mujer
101;Playera;Playera;50;Playeras;Zeroxpur;S;Gris;10;Disponible;P_101;Hombre
102;Playera;Playera;15;Playeras;Americano;XL;Azul;10;Disponible;P_102;Hombre
103;Playera;Playera;15;Playeras;Americano;XL;Café;10;Disponible;P_103;Hombre
104;Playera;Playera;15;Playeras;Gildan;XL;Azul;10;Disponible;P_104;Hombre
105;Playera;Playera;15;Playeras;Americano;XL;Naranja;9;Disponible;P_105;Hombre
106;Playera;Playera;15;Playeras;Americano;XL;Gris;10;Disponible;P_106;Hombre
107;Playera;Playera;15;Playeras;Gildan;XL;Negro;10;Disponible;P_107;Hombre
108;Playera;Playera;15;Playeras;Gildan;XL;Rojo;10;Disponible;P_108;Hombre
109;Playera;Playera;15;Playeras;Gildan;XL;Negro;10;Disponible;P_109;Hombre
110;Playera;Playera;15;Playeras;Gildan;XL;Rojo;10;Disponible;P_110;Hombre
111;Playera;Playera;15;Playeras;Americano;XL;Negro;10;Disponible;P_111;Hombre
112;Playera;Playera;15;Playeras;Old Navy;XL;Gris;10;Disponible;P_112;Hombre
113;Camisola USA;Camisola USA;10;Playeras;Nike;XL;Rojo;6;Disponible;P_113;Hombre
114;Playera;Playera;10;Playeras;Americano;XL;Azul;6;Disponible;P_114;Hombre
115;Playera;Playera;15;Playeras;Americano;XL;Corinto;9;Disponible;P_115;Hombre
116;Playera;Playera;15;Playeras;Under Armour;XL;Corinto;10;Disponible;P_116;Hombre
117;Playera;Playera;15;Playeras;Gildan;XL;Negro;10;Disponible;P_117;Hombre
118;Playera;Playera;15;Playeras;Gildan;XL;Verde;10;Disponible;P_118;Hombre
119;Playera;Playera;10;Playeras;Atletic;XL;Celeste;8;Disponible;P_119;Hombre
120;Playera;Playera;15;Playeras;Americano;XL;Corinto;10;Disponible;P_120;Hombre
121;Playera;Playera;15;Playeras;Americano;L;Verde;8;Disponible;P_121;Hombre
122;Playera;Playera;25;Playeras;Americano;L;Negro;10;Disponible;P_122;Hombre
123;Playera;Playera;20;Playeras;Gildan;L;Gris;10;Disponible;P_123;Hombre
124;Playera;Playera;20;Playeras;Amazon;L;Rojo;10;Disponible;P_124;Hombre
125;Playera;Playera;20;Playeras;Americano;L;Gris;10;Disponible;P_125;Hombre
126;Playera;Playera;25;Playeras;FLX;L;Blanco;8;Disponible;P_126;Hombre
127;Playera;Playera;30;Playeras;Gildan;L;Gris;10;Disponible;P_127;Hombre
128;Playera;Playera;20;Playeras;Americano;L;Gris;9;Disponible;P_128;Hombre
129;Playera;Playera;20;Playeras;Americano;L;Blanco;9;Disponible;P_129;Hombre
130;Playera;Playera;20;Playeras;Americano;L;Azul;10;Disponible;P_130;Hombre
131;Playera;Playera;20;Playeras;FLX;L;Rosado;10;Disponible;P_131;Hombre
132;Playera;Playera;30;Playeras;Old Navy;L;Negro;10;Disponible;P_132;Hombre
133;Playera;Playera;15;Playeras;Americano;L;Azul;8;Disponible;P_133;Hombre
134;Playera;Playera;30;Playeras;Medium;L;Beige;10;Disponible;P_134;Hombre
135;Playera;Playera;30;Playeras;H&M;L;Amarillo;10;Disponible;P_135;Hombre
136;Playera;Playera;25;Playeras;Under Armour;M;Azul;10;Disponible;P_136;Hombre
137;Playera;Playera;35;Playeras;H&M;S;Verde;10;Disponible;P_137;Hombre
138;Playera;Playera;30;Playeras;Americano;L;Negro;10;Disponible;P_138;Hombre
139;Playera;Playera;30;Playeras;Americano;L;Corinto;10;Disponible;P_139;Hombre
140;Playera;Playera;20;Playeras;Atletic;L;Negro;9;Disponible;P_140;Hombre
141;Playera;Playera;25;Playeras;Americano;L;Gris;10;Disponible;P_141;Hombre
142;Playera;Playera;30;Playeras;Americano;L;Negro;10;Disponible;P_142;Hombre
143;Playera;Playera;30;Playeras;FruitLoop;L;Azul;10;Disponible;P_143;Hombre
144;Playera;Playera;25;Playeras;TeeLuv;L;Azul;10;Disponible;P_144;Hombre
